handwashing,p20,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,2003,BEN,5034329.20669982,7145676.03576917,0.704528050460087,Not P20
no soap and water,P20,2003,BEN,3924980.13418485,4569523.21304447,0.85894741118293,P20
no soap and water,Not P20,2004,BEN,4871277.53311936,7033845.89172855,0.692548231522635,Not P20
no soap and water,P20,2004,BEN,4381570.85692248,5082932.90073447,0.862016269443446,P20
no soap and water,Not P20,2005,BEN,4710824.77829917,6891504.77807972,0.683569834164987,Not P20
no soap and water,P20,2005,BEN,4831613.7425929,5627690.94541532,0.858542835677401,P20
no soap and water,Not P20,2006,BEN,4657300.50853123,6906407.20713888,0.674344904499283,Not P20
no soap and water,P20,2006,BEN,5219078.69365824,6091171.1034101,0.856826808023235,P20
no soap and water,Not P20,2007,BEN,3158370.57468551,4624548.29206309,0.682957637204498,Not P20
no soap and water,P20,2007,BEN,3598075.43186171,4199310.92677887,0.85682520170557,P20
no soap and water,Not P20,2008,BEN,3132329.82172375,4634994.93274506,0.675800053112169,Not P20
no soap and water,P20,2008,BEN,3834393.95142331,4471176.9276109,0.85758045666785,P20
no soap and water,Not P20,2009,BEN,2969314.7992882,4449806.36886528,0.667290788215889,Not P20
no soap and water,P20,2009,BEN,4100336.40723727,4851272.62306633,0.845208407324175,P20
no soap and water,Not P20,2010,BEN,3806133.90383275,6702327.4745166,0.567882413729309,Not P20
no soap and water,P20,2010,BEN,6009555.3409074,12041826.5885074,0.499056791487338,P20
no soap and water,Not P20,2011,BEN,4063796.85935757,7665446.42455156,0.530144838837004,Not P20
no soap and water,P20,2011,BEN,6022573.0329029,11607581.6318574,0.518848216959659,P20
no soap and water,Not P20,2012,BEN,3990387.7559576,7512074.34518311,0.531196520774095,Not P20
no soap and water,P20,2012,BEN,6330055.44552836,12243863.2393174,0.516998215497974,P20
no soap and water,Not P20,2013,BEN,2560254.04247175,5327534.35083972,0.480570161329547,Not P20
no soap and water,P20,2013,BEN,4208325.64564391,9876624.5764179,0.426089461342086,P20
no soap and water,Not P20,2014,BEN,2640274.23149261,5407112.8144968,0.488296494279511,Not P20
no soap and water,P20,2014,BEN,4575735.67918265,10487090.7697524,0.43632078520578,P20
no soap and water,Not P20,2015,BEN,2745677.52077938,5585328.35647488,0.491587485200653,Not P20
no soap and water,P20,2015,BEN,4940141.92010117,11025800.059143,0.448052920749693,P20
