sleeping.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,Urban,2001,ARM,9847.68415038883,127799.036471454,0.0770560124887052,P20 Urban
5 people per room or more,Not P20,Rural,2002,ARM,69656.5732066218,2310202.30542582,0.0301517200649588,Not P20 Rural
5 people per room or more,Not P20,Urban,2002,ARM,175796.514031548,2757419.71793432,0.0637539917801284,Not P20 Urban
5 people per room or more,P20,Rural,2002,ARM,64184.1942691562,835790.52579241,0.0767945942056515,P20 Rural
5 people per room or more,P20,Urban,2002,ARM,9899.33822746124,129910.756868449,0.0762010665328165,P20 Urban
5 people per room or more,Not P20,Rural,2003,ARM,63128.3774441814,2386346.03959498,0.0264539913309872,Not P20 Rural
5 people per room or more,Not P20,Urban,2003,ARM,183802.088653699,2792333.93567968,0.0658238208206854,Not P20 Urban
5 people per room or more,P20,Rural,2003,ARM,61715.5205368311,692757.098728226,0.0890868107308165,P20 Rural
5 people per room or more,P20,Urban,2003,ARM,10255.6663524673,126904.268070055,0.0808141956802102,P20 Urban
5 people per room or more,Not P20,Rural,2004,ARM,80658.0015307477,2417595.12813695,0.0333629070442843,Not P20 Rural
5 people per room or more,Not P20,Urban,2004,ARM,194174.883248662,2850231.38819222,0.0681260069105545,Not P20 Urban
5 people per room or more,P20,Rural,2004,ARM,49601.7069804687,570859.462327848,0.0868895240488844,P20 Rural
5 people per room or more,P20,Urban,2004,ARM,5235.64202206578,123320.904707044,0.0424554298762515,P20 Urban
5 people per room or more,Not P20,Rural,2005,ARM,104491.327640381,2496622.88738689,0.0418530680657771,Not P20 Rural
5 people per room or more,Not P20,Urban,2005,ARM,192254.48708887,2931876.53858237,0.0655738686670037,Not P20 Urban
5 people per room or more,P20,Rural,2005,ARM,29436.1423062907,368113.823883017,0.079964783706806,P20 Rural
5 people per room or more,P20,Urban,2005,ARM,5201.70400953172,125182.933992033,0.0415528206893024,P20 Urban
5 people per room or more,Not P20,Rural,2006,ARM,106796.93769874,2625993.68206876,0.040669152568031,Not P20 Rural
5 people per room or more,Not P20,Urban,2006,ARM,194956.933143927,2884323.34810436,0.067591913116141,Not P20 Urban
5 people per room or more,P20,Rural,2006,ARM,30248.9126990242,236008.393811879,0.128168800314515,P20 Rural
5 people per room or more,P20,Urban,2006,ARM,5161.64002085211,128421.825023313,0.0401928567820547,P20 Urban
5 people per room or more,Not P20,Rural,2007,ARM,108845.704020334,2676944.04588777,0.0406604329991654,Not P20 Rural
5 people per room or more,Not P20,Urban,2007,ARM,197266.636682251,2873399.2023548,0.0686527080958983,Not P20 Urban
5 people per room or more,P20,Rural,2007,ARM,30980.8634625488,156797.583758378,0.197585082116378,P20 Rural
5 people per room or more,P20,Urban,2007,ARM,5116.81797550804,115215.342565336,0.0444109079709279,P20 Urban
5 people per room or more,Not P20,Rural,2008,ARM,117646.643153569,2673394.81765432,0.0440064603913587,Not P20 Rural
5 people per room or more,Not P20,Urban,2008,ARM,192721.66538623,2901316.2708062,0.0664255970041756,Not P20 Urban
5 people per room or more,P20,Rural,2008,ARM,18147.4153543049,96216.8425217376,0.188609549832244,P20 Rural
5 people per room or more,P20,Urban,2008,ARM,5073.1980940957,102778.565493882,0.0493604680092339,P20 Urban
5 people per room or more,Not P20,Rural,2009,ARM,108376.282625511,2634785.66881916,0.041132864774569,Not P20 Rural
5 people per room or more,Not P20,Urban,2009,ARM,195862.804604824,2793387.95423909,0.0701165780813202,Not P20 Urban
5 people per room or more,P20,Rural,2009,ARM,30905.8972970467,190375.114824322,0.162342107189622,P20 Rural
5 people per room or more,P20,Urban,2009,ARM,5039.12922191741,114859.195447382,0.0438722315813703,P20 Urban
5 people per room or more,Not P20,Rural,2010,ARM,108134.240355583,2487723.71424062,0.0434671421655804,Not P20 Rural
5 people per room or more,Not P20,Urban,2010,ARM,195350.374360004,2725013.41523242,0.0716878578534787,Not P20 Urban
5 people per room or more,P20,Rural,2010,ARM,30844.8262411037,368545.369881768,0.0836934303393878,P20 Rural
5 people per room or more,P20,Urban,2010,ARM,5020.3325426192,130663.960870947,0.0384217079381026,P20 Urban
5 people per room or more,Not P20,Rural,2011,ARM,28794.3915948677,1370325.23632458,0.021012815667103,Not P20 Rural
5 people per room or more,Not P20,Urban,2011,ARM,91645.6999028313,1896618.42730913,0.0483205786589638,Not P20 Urban
5 people per room or more,P20,Rural,2011,ARM,10739.2329377886,195640.524306289,0.0548926812370201,P20 Rural
5 people per room or more,P20,Urban,2011,ARM,5018.96985752388,31302.2394134157,0.160339002945994,P20 Urban
5 people per room or more,Not P20,Rural,2012,ARM,27941.8262463205,1355584.08129888,0.0206123888822503,Not P20 Rural
5 people per room or more,Not P20,Urban,2012,ARM,87498.3823044495,1909779.00483243,0.0458159724675195,Not P20 Urban
5 people per room or more,P20,Rural,2012,ARM,10767.9464261988,232451.668731603,0.0463233776077206,P20 Rural
5 people per room or more,P20,Urban,2012,ARM,5032.38907784157,31385.9322147375,0.160339002945994,P20 Urban
