educ.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,P20,Rural,2012,COG,278626.043162871,3098092.733122,0.0899347008512862,P20 Rural
Completed secondary education,P20,Urban,2012,COG,121386.468358114,1122570.63715852,0.108132588133047,P20 Urban
Completed secondary education,Not P20,Rural,2013,COG,169939.615276735,544703.036687003,0.311985804798047,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,COG,1317981.03799996,3830382.94723684,0.344085971599974,Not P20 Urban
Completed secondary education,P20,Rural,2013,COG,312322.246793902,3329836.49693326,0.0937950698424826,P20 Rural
Completed secondary education,P20,Urban,2013,COG,146330.806599903,1291495.36348856,0.113303392901571,P20 Urban
Completed secondary education,Not P20,Rural,2014,COG,165084.771540717,539423.198715712,0.306039436074977,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,COG,1333370.23398582,3864838.25762863,0.34500026782594,Not P20 Urban
Completed secondary education,P20,Rural,2014,COG,326245.908902281,3443039.93608629,0.0947551916209039,P20 Rural
Completed secondary education,P20,Urban,2014,COG,153329.233321322,1369075.20287646,0.111994748717363,P20 Urban
Completed secondary education,Not P20,Rural,2015,COG,168828.758531973,529858.300990487,0.318630015263277,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,COG,1358724.4997346,3914402.91033542,0.347109005091705,Not P20 Urban
Completed secondary education,P20,Rural,2015,COG,336611.282800695,3548691.60329841,0.094855039668092,P20 Rural
Completed secondary education,P20,Urban,2015,COG,177155.338064399,1454689.3599626,0.121782246395858,P20 Urban
Completed secondary education,Not P20,Rural,2016,COG,148040.031916375,447976.425752373,0.33046388918288,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,COG,1378040.03669161,3828149.12320564,0.359975537091318,Not P20 Urban
Completed secondary education,P20,Rural,2016,COG,372565.905202622,3660008.82957135,0.10179371759774,P20 Rural
Completed secondary education,P20,Urban,2016,COG,209372.402136598,1753309.4723118,0.11941554268827,P20 Urban
Completed secondary education,Not P20,Rural,2017,COG,134502.410642203,371112.606233204,0.36243018529444,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,COG,1382342.45071347,3757006.81759975,0.36793716855606,Not P20 Urban
Completed secondary education,P20,Rural,2017,COG,390580.891162627,3717518.84885457,0.105064939020544,P20 Rural
Completed secondary education,P20,Urban,2017,COG,252270.17137111,2106558.64060844,0.119754639870004,P20 Urban
Completed secondary education,Not P20,Rural,2018,COG,136515.461638937,322976.016185902,0.42267987341933,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,COG,1388356.32398628,3699143.32778283,0.375318337507734,Not P20 Urban
Completed secondary education,P20,Rural,2018,COG,405628.771773843,3805680.90978068,0.106585071473378,P20 Rural
Completed secondary education,P20,Urban,2018,COG,328512.443293225,2387332.6987896,0.137606477496741,P20 Urban
Completed secondary education,Not P20,Rural,2000,COL,2216510.31784668,3964082.14177555,0.559148432997378,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,COL,21305469.2090015,28062199.1207813,0.759223078608398,Not P20 Urban
Completed secondary education,P20,Rural,2000,COL,1369199.89603408,7037499.09357752,0.194557736751061,P20 Rural
Completed secondary education,P20,Urban,2000,COL,139996.545255035,446865.523195481,0.313285626185561,P20 Urban
Completed secondary education,Not P20,Rural,2001,COL,2438425.3088929,4505380.67448601,0.541225145014209,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,COL,21679022.5767932,28619047.0732028,0.757503299160934,Not P20 Urban
Completed secondary education,P20,Rural,2001,COL,1203925.14775009,6669982.65556241,0.180498992264407,P20 Rural
Completed secondary education,P20,Urban,2001,COL,105197.932872123,340349.651740223,0.309087822873453,P20 Urban
Completed secondary education,Not P20,Rural,2002,COL,2675452.25652786,5148638.29856901,0.51964269023743,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,COL,22026695.1567476,29133950.4354425,0.756049036520338,Not P20 Urban
Completed secondary education,P20,Rural,2002,COL,1022940.73354604,6198673.250214,0.165025755069558,P20 Rural
Completed secondary education,P20,Urban,2002,COL,92705.3200054407,271026.136474602,0.342053062524943,P20 Urban
Completed secondary education,Not P20,Rural,2003,COL,2796537.92496146,5528237.6304187,0.505864275727535,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,COL,22381144.6921138,29613473.3916065,0.755775737487701,Not P20 Urban
Completed secondary education,P20,Rural,2003,COL,956912.816774988,5988000.65572488,0.15980506212205,P20 Rural
Completed secondary education,P20,Urban,2003,COL,67545.9551650844,229253.279362876,0.294634630103453,P20 Urban
Completed secondary education,Not P20,Rural,2004,COL,2916353.50667244,5883920.98672191,0.495647972373133,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,COL,22715822.711739,30070662.3120984,0.75541477856308,Not P20 Urban
Completed secondary education,P20,Rural,2004,COL,890669.037536712,5796684.88678169,0.153651449911953,P20 Rural
Completed secondary education,P20,Urban,2004,COL,53270.9203865811,198000.05603827,0.26904497631195,P20 Urban
Completed secondary education,Not P20,Rural,2005,COL,3020946.919347,6214157.93162938,0.486139385671342,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,COL,23029620.1222636,30502227.3906004,0.755014374109625,Not P20 Urban
Completed secondary education,P20,Rural,2005,COL,837809.059458166,5625175.09754024,0.148939196545992,P20 Rural
Completed secondary education,P20,Urban,2005,COL,48881.5584220024,177754.281991833,0.274995110521434,P20 Urban
Completed secondary education,Not P20,Rural,2006,COL,3001957.88290172,6068943.42278292,0.494642588301666,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,COL,23325321.5290276,30881684.8616678,0.755312465414746,Not P20 Urban
Completed secondary education,P20,Rural,2006,COL,906849.1497386,5923954.92590159,0.153081709952508,P20 Rural
Completed secondary education,P20,Urban,2006,COL,52526.1938538644,196239.936323029,0.267663121167148,P20 Urban
Completed secondary education,Not P20,Rural,2007,COL,2989533.53684913,5900884.71975329,0.506624629835866,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,COL,23600703.6999753,31230595.1186992,0.75569176989024,Not P20 Urban
Completed secondary education,P20,Rural,2007,COL,967826.657107461,6240983.1542393,0.15507599254615,P20 Rural
Completed secondary education,P20,Urban,2007,COL,67531.4485932122,233363.444450996,0.289383149756315,P20 Urban
Completed secondary education,Not P20,Rural,2008,COL,2946854.81144965,5753567.54880084,0.512178711113566,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,COL,23856321.4560349,31560434.7225706,0.75589330963727,Not P20 Urban
Completed secondary education,P20,Rural,2008,COL,1057324.95151502,6531950.8884338,0.161869703182742,P20 Rural
Completed secondary education,P20,Urban,2008,COL,91932.8251186864,275774.25676996,0.333362606776502,P20 Urban
Completed secondary education,Not P20,Rural,2009,COL,3078142.49684187,6137197.29770319,0.501555082479399,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,COL,24151365.7659494,31970743.6077369,0.755420832942552,Not P20 Urban
Completed secondary education,P20,Rural,2009,COL,970831.897977618,6285758.84415986,0.154449434355826,P20 Rural
Completed secondary education,P20,Urban,2009,COL,64796.8753661747,221616.030490759,0.292383521276349,P20 Urban
Completed secondary education,Not P20,Rural,2010,COL,3185714.1514042,6500453.22771644,0.490075697771511,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,COL,24417138.2110283,32335383.0883943,0.755121352491169,Not P20 Urban
Completed secondary education,P20,Rural,2010,COL,906025.142689236,6053713.04695734,0.149664368902423,P20 Rural
Completed secondary education,P20,Urban,2010,COL,54793.3374658686,196989.32419941,0.278153842542259,P20 Urban
Completed secondary education,Not P20,Rural,2011,COL,3257638.60761138,6809343.16084255,0.4784071724193,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,COL,24658137.1814064,32679752.5654733,0.754538674428587,Not P20 Urban
Completed secondary education,P20,Rural,2011,COL,873947.88475592,5867081.23360735,0.148957863366514,P20 Rural
Completed secondary education,P20,Urban,2011,COL,52113.0473529089,169434.727216751,0.307570049003253,P20 Urban
Completed secondary education,Not P20,Rural,2012,COL,3274055.43625419,6737671.25282032,0.485932796867123,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,COL,24881434.9549537,32968549.286161,0.754702147764748,Not P20 Urban
Completed secondary education,P20,Rural,2012,COL,894966.968634745,6053613.01823979,0.147840135459299,P20 Rural
Completed secondary education,P20,Urban,2012,COL,52712.5025482703,178281.370444456,0.295670279047428,P20 Urban
Completed secondary education,Not P20,Rural,2013,COL,3291112.59397059,6759623.51515204,0.486878091153065,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,COL,25108360.3158243,33252510.1239111,0.755081653152237,Not P20 Urban
Completed secondary education,P20,Rural,2013,COL,915949.223476267,6148372.27536692,0.148974262203667,P20 Rural
Completed secondary education,P20,Urban,2013,COL,53293.7918707628,196762.171016106,0.270853851609518,P20 Urban
Completed secondary education,Not P20,Rural,2014,COL,3350817.44249044,7022026.95212391,0.477186639318857,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,COL,25363438.4040415,33614548.1963776,0.754537537017224,Not P20 Urban
Completed secondary education,P20,Rural,2014,COL,898945.57647541,6016983.53543884,0.149401368838854,P20 Rural
Completed secondary education,P20,Urban,2014,COL,53603.6464092303,174230.428360595,0.307659499627067,P20 Urban
Completed secondary education,Not P20,Rural,2015,COL,3437926.20075515,7277615.86550757,0.472397315864015,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,COL,25675091.1245418,34042956.7197866,0.754196861802512,Not P20 Urban
Completed secondary education,P20,Rural,2015,COL,861732.608768154,5914483.56688818,0.145698707084504,P20 Rural
Completed secondary education,P20,Urban,2015,COL,40368.3673238014,142530.571747358,0.283226025328491,P20 Urban
Completed secondary education,Not P20,Rural,2016,COL,3480621.95003759,7333812.62319329,0.474599247195119,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,COL,26016792.1236855,34489365.832591,0.754342432678212,Not P20 Urban
Completed secondary education,P20,Rural,2016,COL,877914.304931227,6038933.02999616,0.145375731204588,P20 Rural
Completed secondary education,P20,Urban,2016,COL,50802.4166599795,164240.966141388,0.309316352999567,P20 Urban
Completed secondary education,Not P20,Rural,2017,COL,3513969.93170146,7370933.61164769,0.476733357922071,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,COL,26409582.8658414,35000063.1638654,0.754558148715201,Not P20 Urban
Completed secondary education,P20,Rural,2017,COL,910587.055724248,6204375.10660214,0.146765313198953,P20 Rural
Completed secondary education,P20,Urban,2017,COL,52869.393762647,178457.589756565,0.296257468425783,P20 Urban
Completed secondary education,Not P20,Rural,2018,COL,3541973.20407746,7418372.88060221,0.477459580569091,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,COL,26810359.1831653,35532174.1700881,0.754537537017224,Not P20 Urban
Completed secondary education,P20,Rural,2018,COL,950228.175198161,6364480.57151148,0.149301763831529,P20 Rural
Completed secondary education,P20,Urban,2018,COL,56661.6004843355,184169.838906384,0.307659499627067,P20 Urban
Completed secondary education,Not P20,Rural,2000,COM,40559.4387256372,324640.826758402,0.124936346209534,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,COM,41437.816804493,138217.0406845,0.299802517831941,Not P20 Urban
Completed secondary education,P20,Rural,2000,COM,325.259817262514,58067.1491801862,0.00560144284427004,P20 Rural
Completed secondary education,P20,Urban,2000,COM,1251.08242837283,9578.46843392177,0.130614036785064,P20 Urban
Completed secondary education,Not P20,Rural,2001,COM,41571.3363602147,333074.019441502,0.124811104840664,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,COM,43301.5248574817,142495.2463439,0.303880487023246,Not P20 Urban
Completed secondary education,P20,Rural,2001,COM,333.374565642971,59181.9509406445,0.00563304454051072,P20 Rural
Completed secondary education,P20,Urban,2001,COM,452.398880497692,8987.54077384948,0.0503362256574135,P20 Urban
Completed secondary education,Not P20,Rural,2002,COM,42587.7210140869,342139.90427475,0.124474580374838,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,COM,44360.2111833928,145979.136791364,0.303880487023246,Not P20 Urban
Completed secondary education,P20,Rural,2002,COM,341.525296944336,59706.3988605112,0.00572007864252915,P20 Rural
Completed secondary education,P20,Urban,2002,COM,463.459657461476,9207.27868266814,0.0503362256574135,P20 Urban
Completed secondary education,Not P20,Rural,2003,COM,43614.6501633013,343312.031146811,0.127040843915692,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,COM,44559.1936240615,148379.582397524,0.300305425477496,Not P20 Urban
Completed secondary education,P20,Rural,2003,COM,349.76058810984,68224.0997690245,0.00512664277423914,P20 Rural
Completed secondary education,P20,Urban,2003,COM,1345.32242440633,10548.8847716359,0.127532194495448,P20 Urban
Completed secondary education,Not P20,Rural,2004,COM,44662.8926541647,344398.026825088,0.129683938859638,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,COM,45577.3949425746,151496.714724161,0.300847414582949,Not P20 Urban
Completed secondary education,P20,Rural,2004,COM,358.166798149663,77029.0388417165,0.00464976330401375,P20 Rural
Completed secondary education,P20,Urban,2004,COM,1430.3986528727,11251.4683356623,0.127129954082433,P20 Urban
Completed secondary education,Not P20,Rural,2005,COM,45605.4873907703,342734.261273873,0.133063695532697,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,COM,46676.2531839466,153713.149044572,0.303658167658851,Not P20 Urban
Completed secondary education,P20,Rural,2005,COM,501.017209885927,88853.2930480783,0.00563870164738664,P20 Rural
Completed secondary education,P20,Urban,2005,COM,1464.88516422634,12958.84717853,0.113041317954064,P20 Urban
Completed secondary education,Not P20,Rural,2006,COM,45962.0071521296,343388.405841181,0.133848453734304,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,COM,47805.5610703153,156605.84484937,0.305260388693006,Not P20 Urban
Completed secondary education,P20,Rural,2006,COM,1260.02056160135,98641.1868944706,0.0127737773770844,P20 Rural
Completed secondary education,P20,Urban,2006,COM,1500.32730569528,14098.6944107619,0.106416045485037,P20 Urban
Completed secondary education,Not P20,Rural,2007,COM,46972.3828613028,342721.54536184,0.13705698838312,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,COM,48934.1371146145,158765.10292044,0.308217210296751,Not P20 Urban
Completed secondary education,P20,Rural,2007,COM,1395.09516349513,110030.22426908,0.0126791994905274,P20 Rural
Completed secondary education,P20,Urban,2007,COM,1567.7491444203,16080.164238575,0.0974958415324759,P20 Urban
Completed secondary education,Not P20,Rural,2008,COM,46815.6477329959,342951.932899593,0.136507898751812,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,COM,49880.5515834439,161513.831249555,0.308831455470667,Not P20 Urban
Completed secondary education,P20,Rural,2008,COM,2728.48931815573,120814.147962537,0.0225841870689002,P20 Rural
Completed secondary education,P20,Urban,2008,COM,1849.91848316753,17584.981271333,0.105198774717108,P20 Urban
Completed secondary education,Not P20,Rural,2009,COM,46889.3487939692,339853.905320225,0.137969133383323,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,COM,51096.6209869874,164303.172319887,0.310989862615103,Not P20 Urban
Completed secondary education,P20,Rural,2009,COM,3862.65599882285,135218.621109058,0.0285660064208724,P20 Rural
Completed secondary education,P20,Urban,2009,COM,1895.01881175283,19162.0030258639,0.0988946097751383,P20 Urban
Completed secondary education,Not P20,Rural,2010,COM,47695.4853794216,338143.693933476,0.141050938506648,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,COM,52307.8961521315,165973.642064456,0.315157849773628,Not P20 Urban
Completed secondary education,P20,Rural,2010,COM,4295.8220204084,148529.529314378,0.028922343188174,P20 Rural
Completed secondary education,P20,Urban,2010,COM,1977.73543317789,21971.5310869972,0.0900135464090766,P20 Urban
Completed secondary education,Not P20,Rural,2011,COM,47998.1365882326,327145.448079237,0.14671803282009,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,COM,53134.0195145107,166761.9476662,0.31862196537106,Not P20 Urban
Completed secondary education,P20,Rural,2011,COM,5265.41595143792,171436.836008462,0.0307134456866553,P20 Rural
Completed secondary education,P20,Urban,2011,COM,2480.00011106201,25782.3083907771,0.0961899948396073,P20 Urban
Completed secondary education,Not P20,Rural,2012,COM,48988.9452662476,329837.878294002,0.148524316005274,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,COM,54435.1306666276,168930.696195797,0.322233506949709,Not P20 Urban
Completed secondary education,P20,Rural,2012,COM,5578.89034562306,180953.362992902,0.030830542485369,P20 Rural
Completed secondary education,P20,Urban,2012,COM,2540.72873335027,28328.457795137,0.0896882121760409,P20 Urban
Completed secondary education,Not P20,Rural,2013,COM,49686.2396592536,322558.48365688,0.154037925451395,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,COM,55308.2083355787,168791.723131198,0.327671329550851,Not P20 Urban
Completed secondary education,P20,Rural,2013,COM,6210.90630374281,200675.986808777,0.030949922820916,P20 Rural
Completed secondary education,P20,Urban,2013,COM,3055.62254641622,33272.8007688444,0.091835447446835,P20 Urban
Completed secondary education,Not P20,Rural,2014,COM,50884.6650189015,322381.207133423,0.157840047412696,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,COM,56159.9265605026,171044.734410641,0.328334729239165,Not P20 Urban
Completed secondary education,P20,Rural,2014,COM,6360.71252115529,213473.607772634,0.0297962478243678,P20 Rural
Completed secondary education,P20,Urban,2014,COM,3611.63200414383,35893.5583917721,0.10062061734653,P20 Urban
Completed secondary education,Not P20,Rural,2015,COM,52050.9315268352,320343.303990434,0.162484843224285,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,COM,57493.6129608926,171646.714588275,0.334953180425278,Not P20 Urban
Completed secondary education,P20,Rural,2015,COM,6553.90971245042,228236.995491421,0.0287153697337239,P20 Rural
Completed secondary education,P20,Urban,2015,COM,3697.40107084569,40205.9505029474,0.0919615386427598,P20 Urban
Completed secondary education,Not P20,Rural,2016,COM,53267.3350903727,324041.224041134,0.164384439813161,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,COM,58772.6126947061,173547.637649874,0.338654063463992,Not P20 Urban
Completed secondary education,P20,Rural,2016,COM,6707.07121975634,237359.115574531,0.0282570618934174,P20 Rural
Completed secondary education,P20,Urban,2016,COM,3848.40393912392,43255.9155273572,0.0889682692460873,P20 Urban
Completed secondary education,Not P20,Rural,2017,COM,54492.5764605144,327802.313112187,0.166236094990169,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,COM,59726.4801729188,175957.600791469,0.339436772860422,Not P20 Urban
Completed secondary education,P20,Rural,2017,COM,6861.34552533199,246511.210918312,0.0278338072324251,P20 Rural
Completed secondary education,P20,Urban,2017,COM,4334.9287780777,45832.8112570716,0.094581341601839,P20 Urban
Completed secondary education,Not P20,Rural,2018,COM,55599.8651569241,330332.288152531,0.168314957850111,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,COM,60936.0631198737,179595.016586002,0.339297071145031,Not P20 Urban
Completed secondary education,P20,Rural,2018,COM,7143.37234277324,256986.153296841,0.0277967207615347,P20 Rural
Completed secondary education,P20,Urban,2018,COM,4575.97044343856,47217.6801072522,0.0969122251039126,P20 Urban
Completed secondary education,Not P20,Rural,2000,DOM,1620626.89053614,4040246.97093245,0.401120748854151,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,DOM,2339876.25903835,4873770.86658837,0.480095663725009,Not P20 Urban
Completed secondary education,P20,Rural,2000,DOM,41391.0543150581,294687.647904049,0.140457377869245,P20 Rural
Completed secondary education,P20,Urban,2000,DOM,152504.630914128,411546.88339203,0.370564417004358,P20 Urban
Completed secondary education,Not P20,Rural,2001,DOM,1643435.85377706,4088412.1602117,0.401974113513047,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,DOM,2366002.67902035,4929315.3080333,0.47998606929536,Not P20 Urban
Completed secondary education,P20,Rural,2001,DOM,54143.5405112938,314909.680555084,0.171933553823612,P20 Rural
Completed secondary education,P20,Urban,2001,DOM,154891.403879214,420011.752093166,0.368778737993161,P20 Urban
Completed secondary education,Not P20,Rural,2002,DOM,1725395.0210957,4203210.13580976,0.410494589931631,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,DOM,2402786.89673729,4968120.58479521,0.483641017911471,Not P20 Urban
Completed secondary education,P20,Rural,2002,DOM,55256.169807676,335673.152898106,0.164613015162548,P20 Rural
Completed secondary education,P20,Urban,2002,DOM,171608.920498647,401338.143576553,0.427591853017862,P20 Urban
Completed secondary education,Not P20,Rural,2003,DOM,1751236.46801881,4216668.36989349,0.415312828611904,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,DOM,2415525.76907881,4956807.38982676,0.487314833744879,Not P20 Urban
Completed secondary education,P20,Rural,2003,DOM,74116.9952678248,376372.125927882,0.196924772484418,P20 Rural
Completed secondary education,P20,Urban,2003,DOM,180144.147905405,444414.207147442,0.405351910465903,P20 Urban
Completed secondary education,Not P20,Rural,2004,DOM,1716255.42018731,4120289.8087873,0.416537549501269,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,DOM,2584128.78432147,5091101.53977847,0.507577537813932,Not P20 Urban
Completed secondary education,P20,Rural,2004,DOM,87157.3205118502,414279.592978864,0.210382847692661,P20 Rural
Completed secondary education,P20,Urban,2004,DOM,185904.939441836,473640.608071683,0.392502112938973,P20 Urban
Completed secondary education,Not P20,Rural,2005,DOM,1848886.40618145,4186942.71941378,0.441583878759228,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,DOM,2715897.09103488,5224965.75619126,0.519792323579673,Not P20 Urban
Completed secondary education,P20,Rural,2005,DOM,91080.3110732747,441506.090313184,0.206294574574649,P20 Rural
Completed secondary education,P20,Urban,2005,DOM,195198.876921028,478030.346549925,0.408339927223934,P20 Urban
Completed secondary education,Not P20,Rural,2006,DOM,1869814.55741068,4240891.14421765,0.440901332721101,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,DOM,2656386.22595375,5207980.02639871,0.510060755319491,Not P20 Urban
Completed secondary education,P20,Rural,2006,DOM,100379.119651818,483092.290526213,0.207784561294653,P20 Rural
Completed secondary education,P20,Urban,2006,DOM,203568.80412556,541334.634044822,0.376049842967751,P20 Urban
Completed secondary education,Not P20,Rural,2007,DOM,1933531.24250877,4336661.47503816,0.445857084680965,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,DOM,2666353.12603581,5201948.63212495,0.512568138326007,Not P20 Urban
Completed secondary education,P20,Rural,2007,DOM,83878.0252368307,468697.169272943,0.178959956952471,P20 Rural
Completed secondary education,P20,Urban,2007,DOM,204293.354568496,592975.081117106,0.344522663892768,P20 Urban
Completed secondary education,Not P20,Rural,2008,DOM,276564.55001343,1245181.74903255,0.222107776819173,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,DOM,862948.922268947,2124382.50249657,0.406211650328889,Not P20 Urban
Completed secondary education,P20,Rural,2008,DOM,4391.41154548753,140569.243824686,0.031240201810891,P20 Rural
Completed secondary education,P20,Urban,2008,DOM,7265.69309823781,35968.790330805,0.201999929144551,P20 Urban
Completed secondary education,Not P20,Rural,2009,DOM,296303.835739203,1287415.32383124,0.230154038292341,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,DOM,893224.657556637,2138248.79641392,0.417736541722682,Not P20 Urban
Completed secondary education,P20,Rural,2009,DOM,4738.50348665573,130584.336050705,0.0362869210041838,P20 Rural
Completed secondary education,P20,Urban,2009,DOM,6942.17175382634,36412.4700354194,0.190653689438632,P20 Urban
Completed secondary education,Not P20,Rural,2010,DOM,316768.509821672,1327023.09755166,0.238706101202086,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,DOM,923990.009338614,2148915.68111631,0.42997964855402,Not P20 Urban
Completed secondary education,P20,Rural,2010,DOM,4257.69248793714,123398.226471125,0.0345036765089443,P20 Rural
Completed secondary education,P20,Urban,2010,DOM,6908.1838371133,35081.3193701699,0.196919157008315,P20 Urban
Completed secondary education,Not P20,Rural,2011,DOM,333093.57044063,1331204.60517901,0.250219665064814,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,DOM,955209.766083711,2152171.97871144,0.44383523971705,Not P20 Urban
Completed secondary education,P20,Rural,2011,DOM,6144.27013218442,151291.685964036,0.0406120805187206,P20 Rural
Completed secondary education,P20,Urban,2011,DOM,8022.57423680874,49662.4807920859,0.161541954990037,P20 Urban
Completed secondary education,Not P20,Rural,2012,DOM,350766.026490693,1350316.27839605,0.259765828274946,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,DOM,983724.784438919,2154333.00608658,0.456626149095627,Not P20 Urban
Completed secondary education,P20,Rural,2012,DOM,7465.37722138861,163777.505395189,0.0455824333346324,P20 Rural
Completed secondary education,P20,Urban,2012,DOM,8578.09468797807,57584.4276957473,0.148965528203236,P20 Urban
Completed secondary education,Not P20,Rural,2013,DOM,1405727.72683594,3669550.69092332,0.383078977574293,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,DOM,3323937.95479829,6308079.85866244,0.526933398002842,Not P20 Urban
Completed secondary education,P20,Rural,2013,DOM,56291.1854893541,954793.338803611,0.0589564078441193,P20 Rural
Completed secondary education,P20,Urban,2013,DOM,15573.7017762133,237343.011174191,0.0656168542699725,P20 Urban
Completed secondary education,Not P20,Rural,2014,DOM,1419273.27806962,3767772.48993953,0.376687626935881,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,DOM,3367241.74182864,6374780.61494857,0.528212960604889,Not P20 Urban
Completed secondary education,P20,Rural,2014,DOM,43223.4417531433,901370.080023155,0.0479530469349869,P20 Rural
Completed secondary education,P20,Urban,2014,DOM,10885.361662831,200698.369353421,0.0542374195560221,P20 Urban
Completed secondary education,Not P20,Rural,2015,DOM,1477655.73527565,3873371.30569282,0.381490856067398,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,DOM,3457726.42472548,6534189.38499623,0.529174503675252,Not P20 Urban
Completed secondary education,P20,Rural,2015,DOM,41271.2338791926,901636.585359375,0.045773690364109,P20 Rural
Completed secondary education,P20,Urban,2015,DOM,8700.00593117191,178348.407229783,0.0487809567032626,P20 Urban
Completed secondary education,Not P20,Rural,2016,DOM,1517373.80897216,3996965.43709821,0.379631456126319,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,DOM,3543261.43998567,6712952.30273586,0.527824611317678,Not P20 Urban
Completed secondary education,P20,Rural,2016,DOM,31666.8663605936,826405.318949208,0.038318807532433,P20 Rural
Completed secondary education,P20,Urban,2016,DOM,1703.99754289348,115695.172461096,0.0147283374634017,P20 Urban
Completed secondary education,Not P20,Rural,2017,DOM,1566011.83783735,4150163.29899498,0.377337402173207,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,DOM,3653746.91385717,6915258.12533126,0.52836016351626,Not P20 Urban
Completed secondary education,P20,Rural,2017,DOM,21647.7478565127,706940.46143066,0.0306217412039246,P20 Rural
Completed secondary education,P20,Urban,2017,DOM,568.522636270116,58305.7344232847,0.00975071563532306,P20 Urban
Completed secondary education,Not P20,Rural,2018,DOM,1620681.18319356,4306108.46931258,0.376367942132281,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,DOM,3767233.58924314,7131067.37575204,0.528284671948686,Not P20 Urban
Completed secondary education,P20,Rural,2018,DOM,13525.2570153339,516127.432309642,0.0262052667009175,P20 Rural
Completed secondary education,P20,Urban,2018,DOM,254.848163330993,39593.207587919,0.00643666373241138,P20 Urban
Completed secondary education,Not P20,Rural,2000,EGY,32295133.9369761,46880769.1066848,0.688878074151967,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,EGY,16856578.5611676,21388423.1536061,0.788116937845678,Not P20 Urban
Completed secondary education,P20,Rural,2000,EGY,81166.7277947523,416963.740025931,0.194661357819039,P20 Rural
Completed secondary education,P20,Urban,2000,EGY,85404.8689983162,122953.168492107,0.694612998149768,P20 Urban
Completed secondary education,Not P20,Rural,2001,EGY,32897077.0886385,47697359.0332969,0.689704372639867,Not P20 Rural
