sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,2014,ARM,22317.1496404161,366601.21023215,0.0608758209671042,P20
5 people per room or more,Not P20,2015,ARM,112752.939269942,3305765.27140195,0.0341079689611854,Not P20
5 people per room or more,P20,2015,ARM,22417.9154059271,372456.615550348,0.0601893333880027,P20
5 people per room or more,Not P20,2016,ARM,290971.187627852,4952982.97015338,0.0587466561829995,Not P20
5 people per room or more,P20,2016,ARM,45070.449335869,910594.473648889,0.0494956324029344,P20
5 people per room or more,Not P20,2017,ARM,290072.497635751,4930162.58200693,0.0588362945056612,Not P20
5 people per room or more,P20,2017,ARM,44999.4747514552,950715.149790445,0.0473322369601177,P20
5 people per room or more,Not P20,2018,ARM,289283.990056202,4869135.49586714,0.0594117765467283,Not P20
5 people per room or more,P20,2018,ARM,44934.7627469507,1025655.55769658,0.0438107729342056,P20
5 people per room or more,Not P20,2000,AZE,979650.331692302,8044244.42425021,0.121782765419092,Not P20
5 people per room or more,Not P20,2001,AZE,987269.80722394,8106810.54767018,0.121782765419092,Not P20
5 people per room or more,Not P20,2002,AZE,994664.10656175,8167527.67223511,0.121782765419092,Not P20
5 people per room or more,Not P20,2003,AZE,1002228.8095057,8229644.03917683,0.121782765419092,Not P20
5 people per room or more,Not P20,2004,AZE,1011041.11028031,8302004.85923444,0.121782765419092,Not P20
5 people per room or more,Not P20,2005,AZE,1021429.6444117,8387308.67127751,0.121782765419092,Not P20
5 people per room or more,Not P20,2006,AZE,1032712.79747533,8479958.50579879,0.121782765419092,Not P20
5 people per room or more,Not P20,2007,AZE,1044488.90382814,8576656.1486244,0.121782765419092,Not P20
5 people per room or more,Not P20,2008,AZE,1066653.54431234,8758657.60349306,0.121782765419092,Not P20
5 people per room or more,Not P20,2009,AZE,1089030.33728619,8942401.11512086,0.121782765419092,Not P20
5 people per room or more,Not P20,2010,AZE,1102064.87427033,9049432.16289918,0.121782765419092,Not P20
5 people per room or more,Not P20,2011,AZE,1116518.75157676,9168117.90021743,0.121782765419092,Not P20
5 people per room or more,Not P20,2012,AZE,1131453.65391994,9290753.49887364,0.121782765419092,Not P20
5 people per room or more,Not P20,2013,AZE,1146183.46335144,9411705.00938347,0.121782765419092,Not P20
5 people per room or more,Not P20,2014,AZE,1160579.89029922,9529919.00212898,0.121782765419092,Not P20
5 people per room or more,Not P20,2015,AZE,1174487.5023311,9644119.16817073,0.121782765419092,Not P20
5 people per room or more,Not P20,2016,AZE,1187690.25201788,9752531.46806672,0.121782765419092,Not P20
5 people per room or more,Not P20,2017,AZE,1199401.97015094,9848700.39716567,0.121782765419092,Not P20
5 people per room or more,Not P20,2018,AZE,1209841.2602136,9934420.98354524,0.121782765419092,Not P20
