birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,P20,Urban,2006,AGO,272072.104630715,847654.176898947,0.320970641147622,P20 Urban
Registered,Not P20,Rural,2007,AGO,748641.171749894,1635717.17512943,0.457683750670808,Not P20 Rural
Registered,Not P20,Urban,2007,AGO,7410452.28877413,12333047.1078119,0.60086142734996,Not P20 Urban
Registered,P20,Rural,2007,AGO,1188100.40894975,6095164.28293149,0.194925083853249,P20 Rural
Registered,P20,Urban,2007,AGO,263293.651976529,841434.434127256,0.312910479174315,P20 Urban
Registered,Not P20,Rural,2008,AGO,806306.293659161,1786422.92917815,0.451352409605548,Not P20 Rural
Registered,Not P20,Urban,2008,AGO,7706489.2054575,12844327.9471078,0.599991625657051,Not P20 Urban
Registered,P20,Rural,2008,AGO,1203648.59147921,6236703.70160438,0.192994352316203,P20 Rural
Registered,P20,Urban,2008,AGO,257342.053512342,828179.42210966,0.310732247918939,P20 Urban
Registered,Not P20,Rural,2009,AGO,698338.848028501,1440939.44591147,0.484641356727358,Not P20 Rural
Registered,Not P20,Urban,2009,AGO,7889209.88410299,13062652.8827464,0.6039515828001,Not P20 Urban
Registered,P20,Rural,2009,AGO,1387458.18750998,6884925.9085659,0.201521150109077,P20 Rural
Registered,P20,Urban,2009,AGO,375122.690876443,1125762.76277622,0.333216467341095,P20 Urban
Registered,Not P20,Rural,2010,AGO,594424.656618078,1112527.37304068,0.534301151614311,Not P20 Rural
Registered,Not P20,Urban,2010,AGO,8034843.36608059,13186879.1227245,0.6093059086463,Not P20 Urban
Registered,P20,Rural,2010,AGO,1569374.78552745,7524699.78877944,0.208563109436956,P20 Rural
Registered,P20,Urban,2010,AGO,538549.879168187,1532139.71545537,0.351501807397587,P20 Urban
Registered,Not P20,Rural,2011,AGO,459148.636479073,814448.438073016,0.563754088061631,Not P20 Rural
Registered,Not P20,Urban,2011,AGO,8021859.16130287,12946945.9892272,0.619594703490507,Not P20 Urban
Registered,P20,Rural,2011,AGO,1784733.05410579,8142442.62509001,0.219188901449098,P20 Rural
Registered,P20,Urban,2011,AGO,868835.491119446,2316823.94760971,0.375011442719172,P20 Urban
Registered,Not P20,Rural,2012,AGO,437676.916533787,746672.13447701,0.586170149285601,Not P20 Rural
Registered,Not P20,Urban,2012,AGO,8174952.32048115,13122485.9532864,0.62297283834652,Not P20 Urban
Registered,P20,Rural,2012,AGO,1888404.38485464,8538334.69454446,0.221167763083969,P20 Rural
Registered,P20,Urban,2012,AGO,1041433.13964681,2700438.21769214,0.385653385003878,P20 Urban
Registered,Not P20,Rural,2013,AGO,354872.085199211,565150.75776023,0.627924638384311,Not P20 Rural
Registered,Not P20,Urban,2013,AGO,8150728.85701403,12876883.2386305,0.632973733314749,Not P20 Urban
Registered,P20,Rural,2013,AGO,2055315.33323184,9055582.02831918,0.226966673903933,P20 Rural
Registered,P20,Urban,2013,AGO,1398901.35847,3518163.97529012,0.397622557758878,P20 Urban
Registered,Not P20,Rural,2014,AGO,294366.647265763,449311.187787375,0.655150940521571,Not P20 Rural
Registered,Not P20,Urban,2014,AGO,8128776.12823006,12630097.3175877,0.643603602080764,Not P20 Urban
Registered,P20,Rural,2014,AGO,2201608.36389862,9513859.49326105,0.231410645223223,P20 Rural
Registered,P20,Urban,2014,AGO,1760761.17556377,4348511.00136384,0.404911284577994,P20 Urban
Registered,Not P20,Rural,2015,AGO,261186.457216204,379696.554531411,0.687882083993461,Not P20 Rural
Registered,Not P20,Urban,2015,AGO,8077663.79012114,12290976.6514905,0.657202760949152,Not P20 Urban
Registered,P20,Rural,2015,AGO,2322114.30320451,9932051.87300873,0.233800057923083,P20 Rural
Registered,P20,Urban,2015,AGO,2157875.07658471,5281655.92096933,0.408560328214012,P20 Urban
Registered,Not P20,Rural,2016,AGO,193295.597073551,274205.124104796,0.704930652571164,Not P20 Rural
Registered,Not P20,Urban,2016,AGO,7769572.02148026,11525244.4232114,0.674135119063732,Not P20 Urban
