sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Male,2008,AGO,1370770.65481429,7234665.46199253,0.189472569535615,Not P20 Male
5 people per room or more,P20,Male,2008,AGO,959969.140935397,3529399.71016403,0.271992185575031,P20 Male
5 people per room or more,Not P20,Female,2008,AGO,1411962.38605771,7396085.41429342,0.190906717130254,Not P20 Female
5 people per room or more,P20,Female,2008,AGO,968926.082958009,3535483.41355,0.274057595418077,P20 Female
5 people per room or more,Not P20,Male,2009,AGO,1330820.56751233,7163760.26808716,0.185771231547323,Not P20 Male
5 people per room or more,P20,Male,2009,AGO,1087865.63909454,4006468.17456847,0.27152733821771,P20 Male
5 people per room or more,Not P20,Female,2009,AGO,1382775.62005588,7339832.06057075,0.188393359499884,Not P20 Female
5 people per room or more,P20,Female,2009,AGO,1087951.5327473,4004220.49677366,0.271701204672395,P20 Female
5 people per room or more,Not P20,Male,2010,AGO,1300561.58168161,7066181.0385851,0.1840543816497,Not P20 Male
5 people per room or more,P20,Male,2010,AGO,1208576.06470012,4521779.65990938,0.267278849390982,P20 Male
5 people per room or more,Not P20,Female,2010,AGO,1345153.5469456,7233225.45718004,0.185968701640612,Not P20 Female
5 people per room or more,P20,Female,2010,AGO,1217971.2172763,4535059.84432543,0.268567837930586,P20 Female
5 people per room or more,Not P20,Male,2011,AGO,1220098.55748553,6781625.42341795,0.179912407617257,Not P20 Male
5 people per room or more,P20,Male,2011,AGO,1381902.30923551,5235205.86700253,0.263963317650149,P20 Male
5 people per room or more,Not P20,Female,2011,AGO,1271489.23259381,6979769.0038823,0.182167809835337,Not P20 Female
5 people per room or more,P20,Female,2011,AGO,1386496.81597424,5224060.70569719,0.265405954119594,P20 Female
5 people per room or more,Not P20,Male,2012,AGO,1188140.09734713,6817608.22274528,0.174275208919045,Not P20 Male
5 people per room or more,P20,Male,2012,AGO,1509179.27901391,5639432.9322636,0.267611885297861,P20 Male
5 people per room or more,Not P20,Female,2012,AGO,1274097.47650654,7051549.86501809,0.180683325069739,Not P20 Female
5 people per room or more,P20,Female,2012,AGO,1481257.97421421,5599339.97997302,0.264541531593398,P20 Female
5 people per room or more,Not P20,Male,2013,AGO,1113840.73405458,6614825.38881036,0.168385508095006,Not P20 Male
5 people per room or more,P20,Male,2013,AGO,1681007.93289237,6292635.68951016,0.267138924901471,P20 Male
5 people per room or more,Not P20,Female,2013,AGO,1206225.84361309,6827208.60758035,0.176679212976413,Not P20 Female
5 people per room or more,P20,Female,2013,AGO,1648757.35782043,6281110.31409913,0.262494571082358,P20 Female
