handwashing,p20,urban,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Urban,2014,IND,51924140.5873587,319479216.834208,0.162527444200868,Not P20 Urban
no soap and water,P20,Rural,2014,IND,335323712.000964,493265733.139308,0.679803378732294,P20 Rural
no soap and water,P20,Urban,2014,IND,22494229.3466869,39778137.9029893,0.565492266167553,P20 Urban
no soap and water,Not P20,Rural,2015,IND,132288287.880721,413284474.02063,0.320090146609566,Not P20 Rural
no soap and water,Not P20,Urban,2015,IND,53320644.1546129,324857096.290059,0.164135691550367,Not P20 Urban
no soap and water,P20,Rural,2015,IND,334224557.512874,489002528.8771,0.683482268037257,P20 Rural
no soap and water,P20,Urban,2015,IND,21933362.7407775,38434325.9027867,0.570671196270083,P20 Urban
no soap and water,Not P20,Rural,2016,IND,135707970.936135,421518308.278867,0.321950359618435,Not P20 Rural
no soap and water,Not P20,Urban,2016,IND,54327639.6753837,329130613.224895,0.165064073326602,Not P20 Urban
no soap and water,P20,Rural,2016,IND,335917113.062195,490656324.711606,0.684628111661738,P20 Rural
no soap and water,P20,Urban,2016,IND,21751031.4130948,38141904.990584,0.570265995326253,P20 Urban
no soap and water,Not P20,Rural,2017,IND,138790626.179957,429733059.193679,0.322969395094653,Not P20 Rural
no soap and water,Not P20,Urban,2017,IND,55061218.9011264,333025537.268859,0.165336326315043,Not P20 Urban
no soap and water,P20,Rural,2017,IND,337872654.135474,492185997.985439,0.686473519194811,P20 Rural
no soap and water,P20,Urban,2017,IND,21830172.4889066,38170417.4037279,0.571913381454785,P20 Urban
no soap and water,Not P20,Rural,2018,IND,142302708.717336,438037962.946857,0.324863871980429,Not P20 Rural
no soap and water,Not P20,Urban,2018,IND,55889057.314442,337234150.480064,0.16572775098513,Not P20 Urban
no soap and water,P20,Rural,2018,IND,339330845.492892,493494149.007491,0.687608649819558,P20 Rural
no soap and water,P20,Urban,2018,IND,21804097.6918436,37832346.8576562,0.576334790275667,P20 Urban
no soap and water,Not P20,Rural,2000,KEN,850989.272735744,1507620.02001758,0.564458723973312,Not P20 Rural
no soap and water,Not P20,Urban,2000,KEN,721539.07760841,1912303.05040579,0.377314190580462,Not P20 Urban
no soap and water,P20,Rural,2000,KEN,700071.889219904,869609.776984365,0.805041419437135,P20 Rural
no soap and water,P20,Urban,2000,KEN,83247.3599380532,127390.226270692,0.653483099725098,P20 Urban
no soap and water,Not P20,Rural,2001,KEN,828474.173733902,1467581.4020991,0.564516675224231,Not P20 Rural
no soap and water,Not P20,Urban,2001,KEN,733783.960948544,1948645.0694449,0.37656111544088,Not P20 Urban
no soap and water,P20,Rural,2001,KEN,765288.931350343,975095.415358949,0.784834919020337,P20 Rural
no soap and water,P20,Urban,2001,KEN,93158.8850811558,147202.579758451,0.632861769365885,P20 Urban
no soap and water,Not P20,Rural,2002,KEN,797002.912317307,1426369.6861108,0.558763215510032,Not P20 Rural
no soap and water,Not P20,Urban,2002,KEN,743540.494750888,1981591.37210875,0.375223926192026,Not P20 Urban
no soap and water,P20,Rural,2002,KEN,840657.010420948,1083585.47309175,0.775810520994098,P20 Rural
no soap and water,P20,Urban,2002,KEN,106178.734548479,171981.946483091,0.617383026066159,P20 Urban
no soap and water,Not P20,Rural,2003,KEN,793525.614771972,1405673.68195771,0.564516235138453,Not P20 Rural
no soap and water,Not P20,Urban,2003,KEN,750675.80700796,2016581.17190303,0.372251718635037,Not P20 Urban
no soap and water,P20,Rural,2003,KEN,889124.375351237,1173235.38530466,0.75783971953791,P20 Rural
no soap and water,P20,Urban,2003,KEN,122387.051120371,196155.473199171,0.623928810776046,P20 Urban
no soap and water,Not P20,Rural,2004,KEN,723424.326286862,1324452.97875376,0.546206122747798,Not P20 Rural
no soap and water,Not P20,Urban,2004,KEN,764872.085257179,2056682.77922644,0.371895993384484,Not P20 Urban
no soap and water,P20,Rural,2004,KEN,1005587.63317433,1325512.63847662,0.758640547049048,P20 Rural
no soap and water,P20,Urban,2004,KEN,132246.229262124,217021.285776166,0.60936985415579,P20 Urban
no soap and water,Not P20,Rural,2005,KEN,688278.449138188,1268767.50338844,0.54247799324938,Not P20 Rural
no soap and water,Not P20,Urban,2005,KEN,782253.590087576,2100898.2671203,0.372342441483285,Not P20 Urban
no soap and water,P20,Rural,2005,KEN,1088807.64820584,1454878.81441223,0.748383739882637,P20 Rural
no soap and water,P20,Urban,2005,KEN,139808.559732241,236024.772237906,0.592346974457913,P20 Urban
no soap and water,Not P20,Rural,2006,KEN,694711.563611796,1277840.41959492,0.543660658215852,Not P20 Rural
no soap and water,Not P20,Urban,2006,KEN,797740.706994458,2151651.41289788,0.370757410894941,Not P20 Urban
no soap and water,P20,Urban,2006,KEN,150098.186781473,250601.568528174,0.598951505623152,P20 Urban
no soap and water,P20,Rural,2006,KEN,1132053.93259722,1521946.89778444,0.743819599911926,P20 Rural
no soap and water,Not P20,Rural,2007,KEN,705076.615845475,1301497.20641712,0.541742703994329,Not P20 Rural
no soap and water,Not P20,Urban,2007,KEN,815314.439898016,2207242.63667503,0.369381429277843,Not P20 Urban
no soap and water,P20,Rural,2007,KEN,1172984.02137801,1576907.4734828,0.743850886055686,P20 Rural
no soap and water,P20,Urban,2007,KEN,159139.544767322,262465.037589488,0.60632664155531,P20 Urban
no soap and water,Not P20,Rural,2008,KEN,710597.287227836,1309632.74919119,0.542592789976192,Not P20 Rural
no soap and water,Not P20,Urban,2008,KEN,829971.798722124,2260956.08194556,0.367088863578425,Not P20 Urban
no soap and water,P20,Rural,2008,KEN,1220159.81721923,1649537.03214591,0.739698347743003,P20 Rural
no soap and water,P20,Urban,2008,KEN,171824.371518072,278049.072351919,0.617964196264601,P20 Urban
no soap and water,Not P20,Rural,2009,KEN,709229.088902902,1306052.23095696,0.543032714995818,Not P20 Rural
no soap and water,Not P20,Urban,2009,KEN,846094.462223466,2315343.02958062,0.36542942078726,Not P20 Urban
no soap and water,P20,Rural,2009,KEN,1275464.26447128,1735782.79997377,0.734806373522396,P20 Rural
no soap and water,P20,Urban,2009,KEN,183687.168998771,294589.955936019,0.623535070688782,P20 Urban
no soap and water,Not P20,Rural,2010,KEN,694558.3067177,1274765.54670894,0.544851803149873,Not P20 Rural
no soap and water,Not P20,Urban,2010,KEN,856975.705498113,2350479.2100201,0.364596164835163,Not P20 Urban
no soap and water,P20,Rural,2010,KEN,1328447.18286845,1825788.47869076,0.727601909187784,P20 Rural
no soap and water,P20,Urban,2010,KEN,192684.630944205,309835.416506841,0.621893497898265,P20 Urban
no soap and water,Not P20,Rural,2011,KEN,659689.816089739,1210179.08568791,0.545117515160781,Not P20 Rural
no soap and water,Not P20,Urban,2011,KEN,866069.96226098,2384930.31847784,0.363142669431844,Not P20 Urban
no soap and water,P20,Rural,2011,KEN,1418550.63242843,1975030.65376745,0.718242337010054,P20 Rural
no soap and water,P20,Urban,2011,KEN,212249.686217023,348019.982988629,0.609877870788697,P20 Urban
no soap and water,Not P20,Rural,2012,KEN,673554.584512292,1224447.46088542,0.550088595900416,Not P20 Rural
no soap and water,Not P20,Urban,2012,KEN,889440.614178176,2435081.05037342,0.365261194916605,Not P20 Urban
no soap and water,P20,Rural,2012,KEN,1460766.59216756,2046714.25860368,0.713713009047063,P20 Rural
no soap and water,P20,Urban,2012,KEN,217977.183708291,371617.138660735,0.586563861112153,P20 Urban
no soap and water,Not P20,Rural,2013,KEN,557861.335812413,1104519.31015253,0.505071600545738,Not P20 Rural
no soap and water,Not P20,Urban,2013,KEN,904582.841238251,2481284.13652685,0.364562376360666,Not P20 Urban
no soap and water,P20,Rural,2013,KEN,1633085.70801701,2253429.89520161,0.724711122140723,P20 Rural
no soap and water,P20,Urban,2013,KEN,232215.957871165,399878.814661065,0.580715830289709,P20 Urban
no soap and water,Not P20,Rural,2014,KEN,562271.630218471,1117070.05583848,0.503345002651983,Not P20 Rural
no soap and water,Not P20,Urban,2014,KEN,925867.482552011,2527995.46800333,0.366245705053926,Not P20 Urban
no soap and water,P20,Rural,2014,KEN,1685475.18038646,2327933.1621835,0.724022153112657,P20 Rural
no soap and water,P20,Urban,2014,KEN,240402.547659015,427860.928711067,0.561870765772487,P20 Urban
no soap and water,Not P20,Rural,2015,KEN,541586.291650025,1082493.34692697,0.500313736973538,Not P20 Rural
no soap and water,Not P20,Urban,2015,KEN,935579.596733098,2560740.55212402,0.365355090720564,Not P20 Urban
no soap and water,P20,Rural,2015,KEN,1762876.68106662,2449435.74729553,0.719707256258121,P20 Rural
no soap and water,P20,Urban,2015,KEN,260118.285310444,469699.347404876,0.55379741689576,P20 Urban
no soap and water,Not P20,Rural,2016,KEN,556892.905219754,1111977.59772939,0.500813061663207,Not P20 Rural
no soap and water,Not P20,Urban,2016,KEN,958507.760314781,2623496.38655475,0.365355090720564,Not P20 Urban
no soap and water,P20,Rural,2016,KEN,1804045.33073572,2506508.15967175,0.719744447579209,P20 Rural
no soap and water,P20,Urban,2016,KEN,266492.980330526,481210.226339296,0.55379741689576,P20 Urban
no soap and water,Not P20,Rural,2017,KEN,570173.714383344,1145678.66407147,0.497673328712504,Not P20 Rural
no soap and water,Not P20,Urban,2017,KEN,987431.771609385,2692127.12781014,0.366784971411284,Not P20 Urban
no soap and water,P20,Rural,2017,KEN,1847068.29176718,2559100.91814729,0.721764537955151,P20 Rural
no soap and water,P20,Urban,2017,KEN,266782.846442648,486620.679806089,0.548235735786973,P20 Urban
no soap and water,Not P20,Rural,2018,KEN,588192.681294012,1179168.31075039,0.498819952954554,Not P20 Rural
no soap and water,Not P20,Urban,2018,KEN,1010465.99952651,2754927.48691019,0.366784971411284,Not P20 Urban
no soap and water,P20,Rural,2018,KEN,1885437.3254267,2612034.19174819,0.721827199422996,P20 Rural
no soap and water,P20,Urban,2018,KEN,273006.199859082,497972.280969957,0.548235735786973,P20 Urban
no soap and water,Not P20,Rural,2000,KGZ,479439.241889936,2662831.03156682,0.18004869111347,Not P20 Rural
no soap and water,Not P20,Urban,2000,KGZ,123833.26500102,1218490.34065435,0.101628433865565,Not P20 Urban
no soap and water,P20,Rural,2000,KGZ,122501.990822748,764595.411910568,0.160218056392257,P20 Rural
no soap and water,P20,Urban,2000,KGZ,18743.2419175524,109455.856700214,0.171240192006242,P20 Urban
no soap and water,Not P20,Rural,2001,KGZ,456786.898847826,2554103.18046308,0.178844340487845,Not P20 Rural
no soap and water,Not P20,Urban,2001,KGZ,123539.294479801,1228632.52998798,0.100550238956321,Not P20 Urban
no soap and water,P20,Rural,2001,KGZ,150893.076223114,905999.405205718,0.166548758593117,P20 Rural
no soap and water,P20,Urban,2001,KGZ,20396.4976896902,111973.941622758,0.182153967200747,P20 Urban
no soap and water,Not P20,Rural,2002,KGZ,429461.574128094,2424386.50654688,0.177142371056911,Not P20 Rural
no soap and water,Not P20,Urban,2002,KGZ,124678.481114708,1239962.0568666,0.100550238956321,Not P20 Urban
no soap and water,P20,Rural,2002,KGZ,183821.969498231,1067622.54772852,0.172178800353488,P20 Rural
no soap and water,P20,Urban,2002,KGZ,20584.5788800908,113006.481255525,0.182153967200747,P20 Urban
no soap and water,Not P20,Rural,2003,KGZ,473878.338445338,2624141.68311279,0.180584128324663,Not P20 Rural
no soap and water,Not P20,Urban,2003,KGZ,127496.387673454,1254534.61028541,0.101628433865565,Not P20 Urban
no soap and water,P20,Rural,2003,KGZ,145868.970663734,904671.762581618,0.161239663596302,P20 Rural
no soap and water,P20,Urban,2003,KGZ,19297.6874005373,112693.679996772,0.171240192006242,P20 Urban
no soap and water,Not P20,Rural,2004,KGZ,499631.205715245,2807615.42954233,0.177955713043182,Not P20 Rural
no soap and water,Not P20,Urban,2004,KGZ,129048.601145417,1269808.02750658,0.101628433865565,Not P20 Urban
no soap and water,P20,Rural,2004,KGZ,127661.259299543,764159.796249569,0.167060947103072,P20 Rural
no soap and water,P20,Urban,2004,KGZ,19532.628412651,114065.676894003,0.171240192006242,P20 Urban
no soap and water,Not P20,Rural,2005,KGZ,551515.637424269,3008879.66279362,0.183296010220698,Not P20 Rural
no soap and water,Not P20,Urban,2005,KGZ,130512.333393408,1284764.7307589,0.101584617221174,Not P20 Urban
no soap and water,P20,Rural,2005,KGZ,82891.8850325538,603408.381689552,0.137372776958211,P20 Rural
no soap and water,P20,Urban,2005,KGZ,19754.177021794,114805.544935745,0.172066401782685,P20 Urban
no soap and water,Not P20,Rural,2006,KGZ,584270.799077003,3249675.63993331,0.179793574440862,Not P20 Rural
no soap and water,Not P20,Urban,2006,KGZ,133508.936285766,1300237.07916185,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2006,KGZ,56993.7217436469,401655.846397416,0.141896905659017,P20 Rural
no soap and water,P20,Urban,2006,KGZ,18381.7308104043,114460.46213225,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2007,KGZ,611064.009231593,3419553.40863719,0.178697021572511,Not P20 Rural
no soap and water,Not P20,Urban,2007,KGZ,134788.149610595,1319475.34407542,0.102152836895215,Not P20 Urban
no soap and water,P20,Rural,2007,KGZ,36344.7753559256,266763.240639363,0.136243566650399,P20 Rural
no soap and water,P20,Urban,2007,KGZ,18557.8550133248,108777.094709234,0.170604437109952,P20 Urban
no soap and water,Not P20,Rural,2008,KGZ,628844.689374258,3565194.23711211,0.176384412054822,Not P20 Rural
no soap and water,Not P20,Urban,2008,KGZ,136075.038215373,1334609.42830762,0.101958696925981,Not P20 Urban
no soap and water,P20,Rural,2008,KGZ,24745.2245627327,156317.486087955,0.158301065235973,P20 Rural
no soap and water,P20,Urban,2008,KGZ,18735.0359614628,107279.237352535,0.174638042027617,P20 Urban
no soap and water,Not P20,Rural,2009,KGZ,630191.277155968,3579787.98005104,0.176041508789854,Not P20 Rural
no soap and water,Not P20,Urban,2009,KGZ,137727.781831052,1350819.36101085,0.101958696925981,Not P20 Urban
no soap and water,P20,Rural,2009,KGZ,31337.0255678182,186924.573675035,0.167645296451482,P20 Rural
no soap and water,P20,Urban,2009,KGZ,18962.5884316361,108582.2322071,0.174638042027617,P20 Urban
no soap and water,Not P20,Rural,2010,KGZ,637247.055807987,3604598.33687176,0.176787257900424,Not P20 Rural
no soap and water,Not P20,Urban,2010,KGZ,139380.525446732,1364431.27457833,0.102152836895215,Not P20 Urban
no soap and water,P20,Rural,2010,KGZ,32219.6357025942,207315.047380332,0.155413879068244,P20 Rural
no soap and water,P20,Urban,2010,KGZ,19190.1409018093,112483.246197411,0.170604437109951,P20 Urban
no soap and water,Not P20,Rural,2011,KGZ,660714.451061195,3729868.92664917,0.177141466377149,Not P20 Rural
no soap and water,Not P20,Urban,2011,KGZ,141652.708756505,1384331.88742849,0.102325685078046,Not P20 Urban
no soap and water,P20,Rural,2011,KGZ,16948.6883143902,128714.664972667,0.131676435765803,P20 Rural
no soap and water,P20,Urban,2011,KGZ,18859.3778540535,110664.866599651,0.170418836922114,P20 Urban
no soap and water,Not P20,Rural,2012,KGZ,654170.803386761,3694899.33248403,0.177046989517566,Not P20 Rural
no soap and water,Not P20,Urban,2012,KGZ,143456.099099637,1404328.09758175,0.102152836895215,Not P20 Urban
no soap and water,P20,Rural,2012,KGZ,34871.512485068,228476.780913488,0.152626067058744,P20 Rural
no soap and water,P20,Urban,2012,KGZ,19751.272612314,115772.326598895,0.170604437109952,P20 Urban
no soap and water,Not P20,Rural,2013,KGZ,628235.801416029,3510012.17478146,0.17898393798453,Not P20 Rural
no soap and water,Not P20,Urban,2013,KGZ,146331.770653853,1425118.04345664,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2013,KGZ,74618.819403722,492010.584918294,0.151661004236552,P20 Rural
no soap and water,P20,Urban,2013,KGZ,20147.1998204792,125453.790282772,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2014,KGZ,640966.154829575,3562511.77369327,0.179919729546629,Not P20 Rural
no soap and water,Not P20,Urban,2014,KGZ,149296.987140807,1453996.14353997,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2014,KGZ,76130.8694017798,520606.593714927,0.146234931176203,P20 Rural
no soap and water,P20,Urban,2014,KGZ,20555.4557228489,127995.942582544,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2015,KGZ,654300.623374911,3619293.38772424,0.180781316484079,Not P20 Rural
no soap and water,Not P20,Urban,2015,KGZ,152402.917093492,1484244.6452666,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2015,KGZ,77714.6732824029,548768.955316436,0.141616380681721,P20 Rural
no soap and water,P20,Urban,2015,KGZ,20983.0852875398,130658.731962978,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2016,KGZ,673314.91882905,3759250.18952522,0.179108834177937,Not P20 Rural
no soap and water,Not P20,Urban,2016,KGZ,155539.548165973,1514792.14371541,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2016,KGZ,73766.1125846287,494595.77305864,0.149144243850792,P20 Rural
no soap and water,P20,Urban,2016,KGZ,21414.9418331008,133347.84216101,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2017,KGZ,693972.724750705,3878163.90818882,0.178943629299774,Not P20 Rural
no soap and water,Not P20,Urban,2017,KGZ,158576.400599117,1544367.90281715,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2017,KGZ,67694.788845522,458736.831228447,0.147567808462736,P20 Rural
no soap and water,P20,Urban,2017,KGZ,21833.060690834,135951.409701846,0.160594588454183,P20 Urban
no soap and water,Not P20,Rural,2018,KGZ,713086.369624102,4000113.08405027,0.178266552630076,Not P20 Rural
no soap and water,Not P20,Urban,2018,KGZ,161764.200204592,1575413.72913624,0.102680456068694,Not P20 Urban
no soap and water,P20,Rural,2018,KGZ,63892.6492791638,423970.681428008,0.150700631147329,P20 Rural
no soap and water,P20,Urban,2018,KGZ,22271.9622045118,138684.387929211,0.160594588454183,P20 Urban
no soap and water,Not P20,Urban,2000,LBR,34792.1334757316,74877.8027193474,0.464652169430471,Not P20 Urban
no soap and water,Not P20,Rural,2000,LBR,6183.88314943699,9477.1790855791,0.652502510883926,Not P20 Rural
no soap and water,P20,Rural,2000,LBR,45231.9158495428,61415.9199732223,0.73648519584603,P20 Rural
no soap and water,P20,Urban,2000,LBR,8858.22516247222,10526.6239911724,0.841506751822874,P20 Urban
no soap and water,Not P20,Rural,2001,LBR,6831.49542931716,10858.877208228,0.629116187458199,Not P20 Rural
no soap and water,Not P20,Urban,2001,LBR,35759.9061089803,76517.9849361477,0.467339882758557,Not P20 Urban
no soap and water,P20,Rural,2001,LBR,45446.768301953,61223.4049205904,0.742310369063915,P20 Rural
no soap and water,P20,Urban,2001,LBR,8622.65733028132,10319.0424040105,0.835606347244984,P20 Urban
no soap and water,Not P20,Rural,2002,LBR,7067.92262244892,11234.6856802481,0.629116187458199,Not P20 Rural
no soap and water,Not P20,Urban,2002,LBR,37450.0003353718,79618.6514558611,0.470367177169953,Not P20 Urban
no soap and water,P20,Rural,2002,LBR,47019.6086818834,63342.2496053465,0.742310369063915,P20 Rural
no soap and water,P20,Urban,2002,LBR,8468.57304585737,10223.667309339,0.828330264436679,P20 Urban
no soap and water,Not P20,Urban,2003,LBR,36864.643438978,80711.9423902941,0.456743356029195,Not P20 Urban
no soap and water,Not P20,Rural,2003,LBR,4537.93817174045,8140.27621852697,0.557467345077587,Not P20 Rural
no soap and water,P20,Rural,2003,LBR,51702.7072276898,69405.4144652228,0.744937662660262,P20 Rural
no soap and water,P20,Urban,2003,LBR,10881.8545154327,12706.8154950649,0.856379359538116,P20 Urban
no soap and water,Not P20,Urban,2004,LBR,33568.4291617616,81190.2143232768,0.413454126726424,Not P20 Urban
no soap and water,P20,Rural,2004,LBR,59969.3246417778,81597.8386293327,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2004,LBR,18679.2015623277,21035.2676242731,0.887994481266939,P20 Urban
no soap and water,Not P20,Rural,2004,LBR,1573.20933253723,3258.19866491108,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2005,LBR,32487.2348841956,81490.7250446067,0.398661747903367,Not P20 Urban
no soap and water,P20,Rural,2005,LBR,63820.8739608899,86441.8303577144,0.7383100716029,P20 Rural
no soap and water,P20,Urban,2005,LBR,22157.8219665467,25425.4584301564,0.871481709067866,P20 Urban
no soap and water,Not P20,Rural,2005,LBR,545.590530573576,2307.89700427194,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2006,LBR,34048.0348545475,85405.8234420838,0.398661747903367,Not P20 Urban
no soap and water,P20,Urban,2006,LBR,23222.3609459866,26646.9860518647,0.871481709067866,P20 Urban
no soap and water,P20,Rural,2006,LBR,66887.0511391282,90594.7971072828,0.7383100716029,P20 Rural
no soap and water,Not P20,Rural,2006,LBR,571.802600852224,2418.77641856137,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2007,LBR,36741.1367777255,88988.0778412961,0.412877069254723,Not P20 Urban
no soap and water,P20,Rural,2007,LBR,68045.0602507086,92163.256154667,0.7383100716029,P20 Rural
no soap and water,P20,Urban,2007,LBR,21520.775901358,25004.691213768,0.860669532663865,P20 Urban
no soap and water,Not P20,Rural,2007,LBR,581.702164527636,2460.6524630852,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2008,LBR,13686.6183298061,33149.3787109842,0.412877069254723,Not P20 Urban
no soap and water,P20,Urban,2008,LBR,8016.80818166043,9314.61830285492,0.860669532663865,P20 Urban
no soap and water,P20,Rural,2008,LBR,25347.7940683837,34332.1797213909,0.7383100716029,P20 Rural
no soap and water,Not P20,Rural,2008,LBR,216.692683072847,916.629534581026,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2009,LBR,14241.5131214431,34493.3496722166,0.412877069254723,Not P20 Urban
no soap and water,P20,Urban,2009,LBR,8341.83259589935,9692.25966449687,0.860669532663865,P20 Urban
no soap and water,P20,Rural,2009,LBR,26375.4663954044,35724.1048305656,0.7383100716029,P20 Rural
no soap and water,Not P20,Rural,2009,LBR,225.478026415193,953.792326904389,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2010,LBR,14762.0762328363,35754.1683278344,0.412877069254723,Not P20 Urban
no soap and water,P20,Rural,2010,LBR,27339.5560068211,37029.9106816542,0.7383100716029,P20 Rural
no soap and water,P20,Urban,2010,LBR,8646.74755077897,10046.5361240526,0.860669532663865,P20 Urban
no soap and water,Not P20,Rural,2010,LBR,233.719815190063,988.655834530464,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2011,LBR,15527.186508444,37199.4605030119,0.417403540225721,Not P20 Urban
no soap and water,P20,Rural,2011,LBR,27739.0069106662,37743.3466719025,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2011,LBR,8640.1256695522,10085.2699342193,0.856707428349165,P20 Urban
no soap and water,Not P20,Rural,2011,LBR,727.693113234983,1507.09043035194,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2012,LBR,16626.7726058628,39302.562326844,0.423045512086285,Not P20 Urban
no soap and water,P20,Rural,2012,LBR,28555.2461058337,38853.9703870779,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2012,LBR,8251.67921404841,9373.55354967477,0.880314938226893,P20 Urban
no soap and water,Not P20,Rural,2012,LBR,749.105979347629,1551.43759403652,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2013,LBR,17079.7648867461,40373.3508541808,0.423045512086285,Not P20 Urban
no soap and water,P20,Rural,2013,LBR,29333.2266779686,39912.53713868,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2013,LBR,8476.49416021369,9628.93368285538,0.880314938226893,P20 Urban
no soap and water,Not P20,Rural,2013,LBR,769.51518528627,1593.70612509966,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2014,LBR,17526.7105699774,41429.8463622576,0.423045512086285,Not P20 Urban
no soap and water,P20,Rural,2014,LBR,30100.8226680711,40956.9740088141,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2014,LBR,8698.30824834449,9880.90497006037,0.880314938226893,P20 Urban
no soap and water,Not P20,Rural,2014,LBR,789.651966590061,1635.41045052075,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2015,LBR,17284.9121490109,41806.1183373991,0.413454126726424,Not P20 Urban
no soap and water,P20,Rural,2015,LBR,30879.1484723215,42016.0105038161,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2015,LBR,9618.21467613639,10831.3901482965,0.887994481266939,P20 Urban
no soap and water,Not P20,Rural,2015,LBR,810.070229198744,1677.69773842039,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2016,LBR,17727.6722409485,42471.3030257526,0.417403540225721,Not P20 Urban
no soap and water,P20,Rural,2016,LBR,31670.1304859237,43092.2677918572,0.734937660716666,P20 Rural
no soap and water,P20,Urban,2016,LBR,9864.58917764209,11514.5367615765,0.856707428349165,P20 Urban
no soap and water,Not P20,Rural,2016,LBR,830.82050933115,1720.6726519463,0.482846349880313,Not P20 Rural
no soap and water,Not P20,Urban,2017,LBR,18032.5601780864,43398.9371499385,0.415506953909629,Not P20 Urban
no soap and water,P20,Rural,2017,LBR,33036.5111192197,44746.1200786495,0.7383100716029,P20 Rural
no soap and water,P20,Urban,2017,LBR,10254.1415892106,11945.6149530784,0.858402152546201,P20 Urban
no soap and water,Not P20,Rural,2017,LBR,282.421823945571,1194.66971089063,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Urban,2018,LBR,18281.0582836124,44277.2429009226,0.412877069254723,Not P20 Urban
no soap and water,P20,Rural,2018,LBR,33856.7562533684,45857.0965717209,0.7383100716029,P20 Rural
no soap and water,P20,Urban,2018,LBR,10707.9582469479,12441.4282608629,0.860669532663865,P20 Urban
no soap and water,Not P20,Rural,2018,LBR,289.433918111107,1224.33149974408,0.236401593989543,Not P20 Rural
no soap and water,Not P20,Rural,2000,LSO,25813.9646487374,51313.263643391,0.503066123958423,Not P20 Rural
no soap and water,Not P20,Urban,2000,LSO,68684.0142067546,124763.081284302,0.550515533118665,Not P20 Urban
no soap and water,P20,Rural,2000,LSO,38702.4533540966,43841.6597492159,0.8827780146893,P20 Rural
no soap and water,P20,Urban,2000,LSO,6520.6853023118,6520.6853023118,1,P20 Urban
no soap and water,Not P20,Rural,2001,LSO,23484.0998061501,47620.0770524385,0.49315543484505,Not P20 Rural
no soap and water,Not P20,Urban,2001,LSO,70646.7491441375,128328.348419025,0.550515533118665,Not P20 Urban
no soap and water,P20,Rural,2001,LSO,42875.9586581716,50254.0218974453,0.853184621634257,P20 Rural
no soap and water,P20,Urban,2001,LSO,6707.02235622949,6707.02235622949,1,P20 Urban
no soap and water,Not P20,Rural,2002,LSO,23698.0366717001,48053.8892958689,0.49315543484505,Not P20 Rural
no soap and water,Not P20,Urban,2002,LSO,71290.3311505996,129497.401729504,0.550515533118665,Not P20 Urban
no soap and water,P20,Rural,2002,LSO,43266.5526463805,50711.8290101202,0.853184621634257,P20 Rural
no soap and water,P20,Urban,2002,LSO,6768.1223920797,6768.1223920797,1,P20 Urban
no soap and water,Not P20,Rural,2003,LSO,23854.0897561436,48370.3272248001,0.49315543484505,Not P20 Rural
no soap and water,Not P20,Urban,2003,LSO,71759.7825326347,130350.150387431,0.550515533118665,Not P20 Urban
no soap and water,P20,Rural,2003,LSO,43551.4656578355,51045.7696417613,0.853184621634257,P20 Rural
no soap and water,P20,Urban,2003,LSO,6812.69091013067,6812.69091013067,1,P20 Urban
no soap and water,Not P20,Rural,2004,LSO,24301.5472199963,49277.6627872547,0.49315543484505,Not P20 Rural
no soap and water,Not P20,Urban,2004,LSO,73105.859898274,132795.271886572,0.550515533118665,Not P20 Urban
no soap and water,P20,Rural,2004,LSO,44368.4085204448,52003.2914276608,0.853184621634257,P20 Rural
no soap and water,P20,Urban,2004,LSO,6940.48406542699,6940.48406542699,1,P20 Urban
