educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,2001,ALB,3062340.94315427,5986686.03156257,0.511525228984654,Not P20
Completed secondary education,P20,2001,ALB,18676.7242271618,130760.809981834,0.142831206305287,P20
Completed secondary education,Not P20,2002,ALB,3049689.21995107,5948843.95768234,0.512652414762485,Not P20
Completed secondary education,P20,2002,ALB,21391.613998027,150288.173031612,0.142337308162815,P20
Completed secondary education,Not P20,2003,ALB,3042288.20234384,5926296.30129673,0.513354049084276,Not P20
Completed secondary education,P20,2003,ALB,21365.8241718423,150051.003379686,0.142390411864016,P20
Completed secondary education,Not P20,2004,ALB,3049378.2388657,5899837.21910445,0.516858029403152,Not P20
Completed secondary education,P20,2004,ALB,21560.9756137337,151128.124734071,0.142666863971699,P20
Completed secondary education,Not P20,2005,ALB,3043318.50510956,5867640.72911709,0.518661357367647,Not P20
Completed secondary education,P20,2005,ALB,21789.9579329934,152387.783653139,0.142990188653122,P20
Completed secondary education,Not P20,2006,ALB,3052765.84559009,5854361.87383656,0.521451511091766,Not P20
Completed secondary education,P20,2006,ALB,18888.2136062247,127795.419469934,0.147800396012382,P20
Completed secondary education,Not P20,2007,ALB,3041311.61218368,5834963.29496067,0.521222064037711,Not P20
Completed secondary education,P20,2007,ALB,18011.7009844406,102138.60980649,0.176345664176997,P20
Completed secondary education,Not P20,2008,ALB,3021201.9494514,5806692.37013732,0.520296540073115,Not P20
Completed secondary education,P20,2008,ALB,17924.6946479849,85017.6982485164,0.2108348616495,P20
Completed secondary education,Not P20,2009,ALB,2985788.60143272,5730847.42407202,0.521002982716157,Not P20
Completed secondary education,P20,2009,ALB,17662.4501238121,121315.33466937,0.145591240975009,P20
Completed secondary education,Not P20,2010,ALB,1595266.22454958,3554964.87409109,0.448743174982129,Not P20
Completed secondary education,P20,2010,ALB,5839.15621234474,62109.1792000932,0.0940143838245408,P20
Completed secondary education,Not P20,2011,ALB,1612364.07803379,3486686.25513014,0.462434518064662,Not P20
Completed secondary education,P20,2011,ALB,8565.00318380772,93972.3482937563,0.0911438666727114,P20
Completed secondary education,Not P20,2012,ALB,1619714.99077483,3401621.71412933,0.476159645867445,Not P20
Completed secondary education,P20,2012,ALB,15792.9898556676,136481.885170777,0.115714915835946,P20
Completed secondary education,Not P20,2013,ALB,1651372.07911493,3299526.26890864,0.500487628989584,Not P20
Completed secondary education,P20,2013,ALB,38758.5189179796,237591.920719758,0.163130626666786,P20
Completed secondary education,Not P20,2014,ALB,1680934.75551653,3264080.17673142,0.514979615849933,Not P20
Completed secondary education,P20,2014,ALB,38579.0897595812,235513.435329964,0.163808445601119,P20
Completed secondary education,Not P20,2015,ALB,1718431.638125,3234865.35164703,0.531221998853851,Not P20
Completed secondary education,P20,2015,ALB,38281.6734897433,232155.538774013,0.164896662349322,P20
Completed secondary education,Not P20,2016,ALB,1747159.38058272,3197814.62711434,0.546360431830073,Not P20
Completed secondary education,P20,2016,ALB,38371.3711945338,234988.189015289,0.16329063752237,P20
Completed secondary education,Not P20,2017,ALB,3015946.68595811,5311575.63341078,0.56780640889066,Not P20
Completed secondary education,P20,2017,ALB,84189.0449848979,434642.608668264,0.193697173967484,P20
Completed secondary education,Not P20,2018,ALB,3006199.72300474,5293178.93718378,0.567938427678431,Not P20
Completed secondary education,P20,2018,ALB,86296.4082815405,438879.019436961,0.19662914940033,P20
Completed secondary education,Not P20,2000,ARM,4900911.75161592,5183424.48720209,0.945496893745883,Not P20
Completed secondary education,P20,2000,ARM,820635.59906369,955757.512797913,0.858623226158418,P20
Completed secondary education,Not P20,2001,ARM,4864410.82242207,5146734.93351053,0.945145006545753,Not P20
Completed secondary education,P20,2001,ARM,819623.840512058,954639.066489477,0.858569347602843,P20
Completed secondary education,Not P20,2002,ARM,4816176.35804127,5102254.71733914,0.943930992248254,Not P20
Completed secondary education,P20,2002,ARM,828946.644577477,965701.282660859,0.858388260905512,P20
Completed secondary education,Not P20,2003,ARM,4883018.82533972,5216202.63320172,0.936125217655226,Not P20
Completed secondary education,P20,2003,ARM,709765.564530916,819661.366798282,0.865925360497793,P20
Completed secondary education,Not P20,2004,ARM,4989241.24055785,5307259.63296511,0.940078606587863,Not P20
Completed secondary education,P20,2004,ARM,587571.913951761,694180.367034892,0.846425427531903,P20
Completed secondary education,Not P20,2005,ARM,5134081.15338577,5469241.24212495,0.938719088461901,Not P20
Completed secondary education,P20,2005,ARM,411269.43753164,493296.75787505,0.833716076511925,P20
Completed secondary education,Not P20,2006,ARM,5198350.50255766,5552183.78116481,0.936271331686194,Not P20
Completed secondary education,P20,2006,ARM,280500.587203558,364430.218835192,0.769696289457296,P20
Completed secondary education,Not P20,2007,ARM,5233170.24622111,5593223.07367628,0.935626950201627,Not P20
Completed secondary education,P20,2007,ARM,186387.398888402,272012.926323714,0.685215226377102,P20
Completed secondary education,Not P20,2008,ARM,5254046.47244255,5616240.59198438,0.935509507897727,Not P20
Completed secondary education,P20,2008,ARM,127692.185944836,198995.40801562,0.641684083156399,P20
Completed secondary education,Not P20,2009,ARM,5112669.42404756,5470949.68972829,0.934512235352228,Not P20
